1000 5000
360 361 1459
163 550 6520
146 985 7097
797 798 6136
515 930 3862
667 720 15
876 877 7755
220 291 8671
425 700 8291
190 788 4986
256 741 7279
433 800 4672
400 979 4157
631 632 2131
36 37 6572
29 657 8835
4 162 1355
340 557 8344
392 869 1430
258 259 6697
521 941 424
258 374 8801
675 676 9717
258 588 6591
736 767 4223
738 746 7573
67 828 1524
703 704 4323
258 767 709
259 260 6749
222 566 2903
400 519 9462
86 649 5447
259 758 4729
621 643 4865
774 928 3522
445 709 1110
61 62 8402
248 267 1604
147 691 2765
676 939 3216
669 670 9599
190 423 2426
146 263 3135
330 352 8753
260 928 1436
260 945 4101
180 596 6209
261 265 9866
261 428 3848
337 676 7042
731 732 6902
261 868 2928
319 657 9661
822 973 9283
62 63 1358
106 727 9192
353 354 1398
248 891 6540
265 266 9593
94 242 9026
263 264 9692
263 410 6814
263 445 7497
197 629 3619
151 433 8001
263 770 3523
36 883 9371
205 613 6792
782 783 2785
150 651 2057
261 948 8360
103 104 6312
683 912 5973
532 557 3923
417 894 1046
264 265 9065
265 430 8010
325 860 6572
349 594 1268
178 878 7157
265 822 5794
265 892 1581
626 628 2790
416 645 1614
174 455 1210
395 491 4624
266 868 5902
266 882 4144
19 169 4571
109 208 1158
662 682 6956
267 652 2838
268 269 1892
268 332 183
467 475 4391
268 426 4768
268 466 3688
296 687 8136
739 740 3916
268 729 99
1 65 7620
655 656 3314
301 377 9975
299 472 7297
753 822 3765
49 769 8224
166 870 6608
269 694 2075
238 541 791
269 807 2600
270 271 2519
891 892 3141
531 614 7104
27 136 7246
270 553 4258
270 643 2217
270 887 3358
42 596 8038
448 861 5366
555 866 7374
551 552 398
412 413 7049
271 680 5125
170 624 361
271 774 4127
369 835 1641
833 873 120
90 504 8229
272 284 4742
240 769 5272
169 170 3949
75 383 7151
272 788 2740
404 457 230
272 847 610
141 142 4741
272 944 3765
372 710 9450
785 786 7347
273 274 1
273 386 7930
273 646 1459
317 430 3103
442 684 3809
761 762 761
273 855 2207
755 783 4994
630 631 8473
275 276 6930
188 189 8635
280 281 6767
574 717 4954
136 719 8854
484 549 1852
387 497 2140
562 903 2276
26 535 6388
478 715 1102
277 278 995
344 447 1114
277 507 2484
12 253 235
171 316 1749
217 470 8229
339 642 2727
278 279 1710
239 779 9602
278 622 7756
926 927 4062
683 984 3224
254 778 6279
278 972 914
173 833 4026
54 894 7539
179 422 6343
314 326 161
222 577 884
21 627 3366
182 648 1405
839 937 2742
203 659 4735
280 489 3416
502 503 7296
671 941 9036
205 426 4443
280 997 9176
129 663 1528
490 491 5118
409 961 650
135 670 6364
16 618 9041
341 822 6615
281 733 8296
25 846 1528
334 868 8925
434 435 7772
282 371 1383
480 717 2850
362 755 6463
282 735 8765
294 659 8344
458 951 2212
604 605 213
841 842 887
283 369 129
568 569 4817
600 601 197
209 288 4813
538 552 8891
291 651 9132
719 852 9228
284 285 4313
364 724 4331
523 542 7269
38 894 1554
260 654 9549
910 974 4500
206 207 6901
137 500 7842
8 433 655
252 960 2571
286 323 8652
286 427 8153
385 659 8469
286 478 3627
286 551 4697
286 591 7037
409 546 5452
199 279 1722
574 713 2794
287 367 5344
92 809 736
331 332 3132
155 467 6740
287 879 1444
647 890 7383
125 535 9270
29 454 7925
757 758 1729
134 762 5390
288 1000 9029
289 290 2184
182 288 9686
110 985 4937
290 356 1424
201 344 4666
60 715 477
290 942 2501
234 572 4731
291 292 7179
426 868 9425
291 352 352
509 510 7022
291 447 470
310 617 9636
35 880 955
477 558 8294
315 504 6788
550 775 6972
291 809 2334
197 488 442
162 444 6877
291 975 573
371 992 9949
291 987 7776
292 293 9713
119 901 1598
793 794 4794
365 382 3697
556 771 1079
113 696 949
87 432 8363
26 971 1146
84 967 2868
58 667 5027
205 532 526
29 926 3701
293 998 7966
332 377 3480
156 915 4442
529 751 3671
294 856 9825
429 461 2878
594 991 1527
295 296 859
104 816 7746
295 696 6665
297 711 9969
255 954 4943
352 924 5282
334 973 7874
894 895 6409
21 75 6222
172 604 1717
296 905 2816
345 864 461
319 320 7230
217 600 4467
297 642 7784
229 446 7209
24 770 2106
852 853 9151
271 830 5270
297 856 2445
362 790 690
463 464 6870
208 982 1293
298 412 3920
298 417 833
458 459 1883
203 297 9083
24 313 2470
547 741 9920
143 224 7233
358 527 8593
269 297 9503
579 580 4618
300 449 1527
86 666 5361
300 540 8112
300 648 6288
347 359 4699
198 693 9912
389 611 8133
666 782 6957
27 887 120
5 102 8447
57 775 711
301 510 9276
605 624 8610
59 822 8140
254 328 2874
758 759 6873
301 882 1060
302 303 3982
889 918 731
401 414 5941
121 527 7544
351 352 5546
79 625 4888
462 531 1710
666 984 9015
44 718 447
135 402 2528
521 793 7678
782 991 9457
303 659 2449
393 792 989
693 694 3587
33 66 2447
334 335 948
726 727 2367
292 401 3407
104 986 5526
626 853 1510
221 716 9355
328 489 4225
177 372 4479
512 755 2946
12 772 3075
17 18 1764
305 991 8486
342 838 4594
410 694 2504
306 860 662
307 308 1919
833 834 1013
307 978 5789
772 773 2475
941 942 9744
308 519 338
308 908 2894
543 999 3363
309 310 4315
309 566 8140
309 889 5568
309 932 1210
491 606 6362
50 678 2422
207 949 5163
220 801 3966
310 536 6256
717 933 8825
365 875 7494
310 897 7446
128 468 2525
311 312 419
311 618 4386
311 738 4353
311 824 2306
526 671 4738
705 867 9849
874 875 909
312 476 6406
312 605 4562
88 89 8200
555 781 1513
537 538 9192
297 335 7699
53 813 4571
313 797 9773
15 150 5367
314 315 7550
389 390 1560
571 841 344
239 992 5086
189 570 2905
314 428 5855
619 620 8682
210 246 3779
173 244 905
507 846 2592
314 771 6707
314 839 9363
532 963 9032
315 316 1566
315 321 2380
640 641 6422
562 906 7112
382 780 8930
351 548 7349
153 997 3465
316 317 1350
316 351 5570
316 397 2990
141 623 8955
316 783 2018
369 693 1764
367 437 7754
89 274 7159
411 678 5551
65 66 9038
320 321 9073
937 938 6740
566 567 1782
354 943 6976
201 716 9189
319 581 9290
137 681 7359
198 510 964
321 322 7255
319 727 3510
319 820 7922
503 504 6308
878 879 6443
573 929 7759
104 105 6250
587 855 3197
574 836 5017
152 153 9450
427 607 3084
320 882 8387
517 518 5205
320 985 1243
57 149 7720
74 605 5318
359 479 2657
161 554 1453
734 936 1965
288 458 1923
279 280 5858
322 539 756
8 338 5185
322 641 4461
970 979 2752
365 569 465
282 799 6961
498 499 1085
323 334 1810
233 234 4469
38 999 1525
711 969 4552
329 983 5226
316 576 1626
324 325 680
324 449 7968
324 529 2556
324 541 2558
324 602 5335
324 627 4318
158 259 3301
152 396 7041
325 326 3624
325 358 7854
83 832 3593
325 632 209
325 647 8957
436 493 5787
122 167 6317
501 616 724
817 885 4889
686 687 4333
327 890 7047
327 902 5575
779 822 162
569 570 9424
671 850 6019
533 693 1876
226 227 9735
329 330 9368
220 221 407
466 606 6056
805 856 4532
323 903 5281
330 331 9257
245 246 2934
31 488 8484
330 977 7227
42 586 2575
281 550 9990
331 734 247
28 611 166
332 333 9704
389 838 7203
332 770 7812
200 349 6586
333 334 2937
51 83 1124
333 714 2047
632 633 5915
813 814 9818
334 438 6792
133 946 7839
334 565 4347
810 887 8994
46 826 8487
229 396 378
334 894 288
334 916 4144
46 357 582
193 986 546
335 501 7623
335 598 8092
335 621 1835
181 570 3988
367 849 7897
533 717 7773
610 845 979
126 140 3357
336 699 5134
204 609 1549
402 797 1409
337 371 656
348 349 3759
223 503 2298
261 515 2839
133 411 215
556 634 768
144 145 7341
145 435 4329
200 742 1382
497 498 3485
338 624 768
593 936 3952
157 512 6118
338 886 8708
587 988 8588
53 772 2557
587 761 4208
470 550 5028
126 278 769
524 525 6623
169 482 6391
297 298 2420
340 341 2730
340 397 7478
399 851 6604
13 237 456
125 508 335
107 289 809
422 717 3884
43 358 9663
341 488 972
975 976 3285
185 775 9805
224 858 4192
341 909 4755
407 878 2198
152 813 9193
86 765 9046
589 692 7358
85 557 5291
343 468 3226
343 589 6826
21 22 2375
343 781 773
710 957 6054
84 720 9392
160 952 9163
635 917 7665
291 985 6365
154 185 3860
344 642 6828
344 657 7079
148 172 6993
344 769 6183
344 877 5863
30 317 8241
315 351 964
701 702 1556
345 816 9334
345 831 3439
296 297 4137
345 970 5720
65 625 8790
415 948 7210
346 470 3876
460 644 6642
34 35 3579
134 192 5657
410 411 1363
42 468 8695
611 612 1058
347 406 4593
347 510 9553
210 821 2040
236 955 3447
634 835 6255
260 387 2233
93 183 7000
800 920 3273
908 909 1579
619 873 1736
39 886 3081
119 798 4395
320 858 4997
427 428 5862
486 593 2103
136 593 8252
39 186 7267
350 924 8598
302 494 343
23 274 9993
181 430 4159
337 398 4747
100 417 672
351 603 2161
351 650 7130
82 696 9229
130 294 8523
392 605 8106
135 438 1701
577 695 9901
353 449 9448
172 793 4658
502 986 7938
353 689 8678
360 717 6850
354 355 8393
602 825 3670
824 826 8565
895 896 7363
53 583 5453
261 843 2722
352 353 7082
252 253 5066
444 753 69
12 977 7698
730 731 7534
624 630 3692
356 511 2642
78 79 2822
356 768 2903
357 358 9272
357 471 7602
399 852 4223
244 350 4603
44 759 512
6 48 231
228 577 2108
458 672 1330
291 899 6101
236 834 504
579 781 949
440 719 702
59 422 739
856 857 9127
612 613 3383
475 831 9087
163 690 8445
627 628 1683
620 840 5026
314 436 1682
889 955 7705
694 844 3918
687 688 799
361 828 9338
361 834 9967
479 815 1585
54 406 5703
618 621 338
74 719 7998
209 647 2687
349 350 1056
362 873 7458
456 763 6880
12 943 5816
363 407 9160
59 580 848
386 387 6463
136 591 287
363 800 1863
170 328 280
364 365 6184
396 844 8542
830 831 9360
846 847 8991
284 302 623
329 937 1879
519 973 9640
142 763 3909
145 291 8403
36 315 7854
190 902 6603
843 844 2009
713 714 2179
253 847 8870
242 515 4475
365 819 81
27 28 8481
948 980 3977
713 897 3802
825 826 858
366 875 694
366 980 9565
442 443 2170
81 837 7709
20 21 9478
18 933 1123
280 284 7698
367 886 7187
367 938 1141
268 342 2673
368 607 7396
368 693 1898
293 601 8891
697 718 7282
368 900 557
263 535 2712
301 550 2388
711 844 2316
369 642 2237
303 564 3679
868 937 3307
370 371 9811
212 236 7880
154 464 994
22 456 7400
370 603 4188
422 689 6460
25 901 8295
133 978 7383
441 457 644
983 984 5523
93 94 6701
515 948 1611
371 942 8130
91 913 2555
304 641 3744
592 950 6690
372 467 75
55 973 2837
22 700 5579
435 862 9627
39 608 341
372 715 1435
764 772 5565
345 667 7654
438 600 5693
196 475 2437
373 921 1904
859 953 3483
717 718 7981
289 617 4590
544 545 3573
72 776 5821
376 377 6056
740 741 9842
9 125 1108
377 378 4144
377 530 5736
377 598 122
377 775 4835
928 967 3993
79 788 5050
525 977 3132
378 417 6500
428 744 5813
660 730 9688
378 791 5421
459 847 8596
362 743 8685
17 872 4824
379 677 6312
172 192 6241
380 477 5624
157 158 2066
236 472 5220
349 625 6380
381 721 913
381 816 7272
620 881 7168
452 453 3791
16 162 1050
483 816 6705
152 862 8002
382 763 6177
146 147 6386
517 609 2391
647 648 2209
383 406 5847
44 719 115
137 631 1362
340 545 8415
383 994 733
384 385 8943
384 441 9027
165 964 395
384 736 9910
384 739 9756
517 792 294
297 917 1862
864 988 1633
385 748 1709
363 887 3122
177 480 1365
385 994 5948
278 827 836
383 384 9234
386 968 6182
272 956 8541
362 363 8725
923 952 1113
245 795 7350
79 383 462
73 336 3628
781 782 2
388 760 6130
531 739 5945
388 880 1521
388 918 2982
406 887 1741
84 254 9733
586 806 7178
125 998 9826
389 498 4945
199 789 1663
389 676 3410
32 726 1703
389 916 7050
390 391 4844
390 626 9593
596 597 4147
355 704 863
30 212 7934
390 736 2557
146 706 17
209 536 4434
390 933 6965
866 867 8359
177 178 749
669 857 4106
391 834 6424
338 751 8920
392 535 4682
392 574 2623
61 856 1189
392 607 2214
792 942 3063
576 678 4982
15 105 277
393 449 8290
393 505 2063
439 991 5629
47 628 5539
249 709 2428
127 596 1872
13 14 5674
394 395 5166
394 549 1881
714 942 5038
394 739 9871
592 804 5773
505 506 1172
384 754 8505
191 276 992
395 789 1683
209 568 5794
381 914 8925
396 824 1768
382 756 5348
143 493 8218
397 418 1961
11 758 8361
397 519 1814
169 522 9877
206 929 2738
74 789 1362
159 808 7339
170 725 1970
200 352 1368
398 418 8454
61 609 5678
677 813 4302
223 224 6696
265 498 5339
166 381 9836
172 755 1586
570 876 4692
357 836 8912
302 880 1733
838 893 9389
665 776 4897
21 695 3298
400 584 5426
257 258 8963
907 908 3231
302 379 8705
158 290 4474
372 987 4838
708 968 8862
75 494 7279
584 951 8176
377 967 7364
332 971 1903
246 364 6200
403 463 5599
403 677 3281
403 838 2872
759 760 5144
335 875 3001
568 808 4983
404 577 5773
73 917 2794
835 944 6059
372 595 3243
254 408 2315
227 939 8301
9 381 2982
405 706 66
50 335 230
828 829 8092
559 560 954
293 383 4276
25 254 6134
406 882 7117
271 272 7555
20 762 2672
407 592 8477
407 631 41
900 1000 8072
812 931 880
342 343 3372
364 652 7454
344 579 786
408 473 2446
408 768 9895
408 801 2770
383 878 1610
426 556 6902
247 971 1046
409 506 5353
154 233 1590
98 510 8574
547 548 4654
446 988 2137
37 62 8278
124 833 2116
411 412 4415
466 644 8988
317 672 8057
411 873 8519
575 834 4110
61 902 7301
412 548 5365
412 714 968
412 980 278
233 884 6007
413 414 4167
413 766 8930
413 991 8075
579 959 1698
5 515 584
706 783 1192
799 893 9904
60 329 9215
414 975 5073
17 281 4270
422 446 633
415 478 2798
730 891 5552
346 420 6283
416 417 6051
106 698 3805
416 702 2011
416 935 3150
225 663 67
232 504 204
417 650 2756
254 869 158
13 668 1324
19 746 2304
185 859 7470
589 812 678
375 846 8405
445 937 7445
655 973 9375
431 432 6129
179 945 618
419 420 1687
227 517 1063
112 113 8530
41 769 5073
142 671 5490
238 763 8592
420 496 823
420 527 432
420 566 984
420 619 8422
256 903 3342
420 987 3566
239 765 8899
260 261 536
341 342 281
421 815 6743
262 938 9356
669 695 4191
354 637 9887
917 918 3284
704 705 1372
340 706 8399
422 808 995
422 913 6970
422 946 2960
541 883 1885
423 511 1049
423 792 7169
423 896 7314
518 550 2032
424 425 805
31 507 4344
424 528 7382
82 559 7834
148 149 6422
960 961 8967
425 622 50
46 47 2248
116 834 900
296 373 838
426 427 2690
426 525 2008
431 936 9862
426 615 7356
426 631 6042
426 700 4315
426 753 8295
770 771 7578
48 162 4061
314 686 9083
561 835 5817
348 424 4793
427 648 2366
427 664 447
72 491 490
428 429 5345
68 301 3334
307 636 7453
429 430 9991
409 931 908
2 106 3589
429 671 2559
294 893 1054
442 989 5946
155 156 2284
556 557 6793
430 537 2792
331 462 1238
75 325 7434
62 91 7417
418 845 3095
83 566 5992
198 342 229
584 786 5264
431 967 2652
125 948 7117
106 287 4315
432 862 2049
433 434 3037
268 742 5844
232 786 7018
399 400 8663
29 185 3205
420 736 7066
433 821 9501
902 983 4316
728 829 6124
564 875 8809
464 529 8376
434 841 6887
434 844 328
930 931 9340
164 165 9766
435 550 2053
943 944 708
435 760 2742
435 842 1552
523 912 9579
436 437 9216
436 490 9812
538 696 9281
224 797 1835
211 212 9625
80 920 7440
437 438 9304
438 685 1414
543 660 3002
437 670 4407
870 871 4462
437 828 6305
43 988 6067
438 550 1661
855 978 521
437 470 8698
525 526 1242
482 517 3488
439 601 2512
539 665 60
214 526 384
100 761 9786
439 897 703
439 959 6690
501 971 7349
440 441 1403
807 850 2765
440 607 9017
440 673 749
522 753 422
91 92 2924
440 804 3321
440 874 4196
440 945 9066
440 959 2353
35 916 7877
371 407 6017
892 893 4021
441 906 517
684 989 1937
65 816 1896
442 596 5540
237 238 1275
442 791 1523
442 873 8418
618 969 3517
775 780 5603
171 495 3213
553 851 512
443 736 2193
765 766 718
115 213 682
277 327 9070
392 393 3532
149 445 2739
34 269 6087
601 970 2197
445 446 2479
407 408 9089
225 909 6596
89 427 6099
679 927 1969
687 805 9030
214 628 1707
804 817 8703
446 575 8129
334 537 1296
274 275 8096
750 751 1111
755 768 7406
54 769 7042
1 153 2105
448 449 7244
163 164 7739
448 727 201
126 127 2320
305 642 2737
653 654 4429
477 555 3104
240 241 7255
317 602 1296
272 946 4998
840 970 5792
5 51 9980
450 451 4062
44 45 904
450 599 108
450 704 3629
450 926 8480
430 723 9938
749 923 364
111 169 8109
41 987 8829
399 870 5967
127 411 2311
21 432 8376
8 366 5094
453 454 4271
453 701 5879
458 465 4147
453 742 7060
677 904 4869
454 455 5256
454 504 8215
454 785 5584
455 456 2979
919 920 4578
120 678 5184
455 783 2217
11 988 5779
36 895 1527
337 338 6897
49 691 3569
456 735 5704
362 911 2830
856 856 3003
99 831 5017
391 392 2820
655 921 2705
76 713 589
458 602 2270
458 619 4827
397 863 3332
282 828 8749
75 176 3252
459 619 2135
459 648 8407
459 662 1832
53 179 5427
459 854 5054
459 968 2686
273 792 631
460 538 1022
460 623 9281
346 523 271
460 769 4819
963 964 1451
339 343 6918
461 462 7324
258 591 4010
327 328 7824
198 396 7320
491 776 6417
7 621 9234
262 514 4235
417 845 7326
859 997 3744
463 634 1134
463 704 4902
463 961 1337
257 653 3627
703 771 4799
488 944 1032
464 921 178
192 974 2626
201 644 1116
464 889 2527
465 906 9187
974 975 7230
354 551 3300
466 586 1452
505 823 8948
411 464 1725
466 855 1251
61 874 4544
152 1000 810
467 689 8703
676 793 7492
468 469 774
814 815 7195
648 826 6480
87 968 103
468 882 9376
469 470 565
120 121 9287
693 919 2387
297 440 1591
469 870 6559
191 735 5566
201 892 8701
107 873 2765
470 520 272
169 907 243
470 784 5114
644 889 6390
471 472 5471
611 743 9694
471 717 2449
471 732 4822
53 296 2506
472 473 4660
472 482 5028
370 907 6316
472 861 3643
654 800 2587
252 949 5424
92 621 1407
473 635 7992
209 479 8671
473 671 5603
235 259 6408
474 475 7898
70 71 5205
76 516 2175
942 943 4465
224 589 928
475 578 3151
475 634 8268
475 738 1932
475 774 2085
360 411 3215
476 477 9138
1 2 2663
512 748 111
136 263 1423
477 478 5878
448 986 5198
190 649 2170
810 890 9407
110 165 165
53 996 2689
478 479 2004
478 504 3616
115 132 287
276 529 2856
479 480 8810
29 265 9986
479 884 1670
479 940 8709
762 763 9427
480 574 7033
393 394 6776
512 993 905
532 934 2331
44 936 1781
481 528 808
639 664 3993
481 976 3891
969 970 2529
439 440 4276
13 185 7410
482 615 1799
24 686 6732
265 931 3283
186 187 4731
135 775 336
29 544 2007
483 830 765
515 831 5706
484 539 5419
609 655 6223
254 716 783
182 265 5385
484 718 3193
73 74 4683
485 486 1678
109 110 3610
140 696 7801
62 182 9288
485 852 380
485 944 9625
242 560 2083
154 296 9379
486 635 2426
567 960 3745
129 719 246
486 824 2374
899 900 1229
487 909 9410
336 593 7765
487 603 679
100 803 4372
78 599 2642
168 521 7276
277 827 8509
738 739 2152
367 368 5185
44 847 9866
815 816 8341
614 676 8932
86 711 8625
489 490 2346
256 377 2484
700 940 1000
497 834 3781
489 970 2722
517 977 1021
490 509 6217
490 532 8041
490 605 3183
490 675 2678
298 434 7659
224 225 5108
293 294 224
490 949 38
34 367 2225
344 463 8569
491 492 3379
107 207 2737
309 954 1604
616 871 8244
217 730 925
491 926 4056
541 866 5235
427 566 9171
492 598 4846
230 299 3290
636 637 1402
493 494 5250
100 337 6612
334 866 5503
493 818 7798
574 805 3291
920 921 3759
296 429 119
494 696 4919
726 997 2062
494 960 8997
119 120 3454
510 511 8551
495 563 7006
371 608 2278
134 135 227
420 421 8714
496 765 4956
158 231 3714
582 583 7610
749 979 6871
755 756 1480
497 953 2682
323 324 3742
498 590 9206
306 678 5797
532 533 2885
498 861 6155
499 500 5642
499 628 8237
89 90 7284
499 868 9243
515 706 8560
212 213 2229
500 702 9624
145 313 7310
125 942 1337
632 745 4273
500 924 5218
569 609 8944
49 50 8517
11 172 2187
41 770 8795
501 956 2614
923 924 6048
177 706 6592
502 760 549
24 238 7129
94 225 6162
71 72 6747
503 542 786
744 745 3894
842 843 8081
503 815 2743
81 201 7252
503 946 4149
321 538 1482
226 542 687
504 521 452
504 605 1977
504 696 7088
504 719 2472
57 58 1046
504 830 5815
287 524 1332
394 828 6738
505 794 781
129 503 1850
22 448 4549
505 898 298
505 947 5963
505 955 6663
613 662 7945
222 238 2196
196 486 4492
257 693 5100
173 969 4333
806 807 4279
195 196 980
508 509 3694
630 677 26
346 884 5833
223 407 9734
227 488 2196
538 971 1369
314 383 4013
535 931 9239
465 558 7838
138 170 7753
498 621 377
511 512 8802
673 834 6954
845 846 2094
511 814 6973
511 961 4572
647 983 1415
641 704 2059
78 602 7169
221 222 4795
262 738 411
374 375 691
339 753 4255
360 924 7219
425 865 563
513 859 1229
514 515 2369
308 309 1297
515 516 714
981 982 8358
515 814 4475
720 791 235
250 641 2587
21 356 7739
17 61 9180
515 967 6152
516 517 2858
837 982 503
66 750 7714
113 982 1708
299 300 8272
374 390 282
110 652 1804
15 617 7639
194 883 6325
541 806 9739
189 934 995
518 578 8287
518 636 1268
678 898 7727
57 300 7995
80 217 6442
600 605 8553
346 607 1275
520 571 4262
429 886 6656
6 147 5821
520 869 3798
520 880 139
682 870 1712
521 522 1830
138 847 5794
23 897 6821
193 455 4195
312 313 1592
522 523 8605
81 279 5998
102 779 6766
561 753 3889
425 679 7507
284 523 2126
291 551 1404
100 101 6804
218 788 438
524 540 6287
524 588 571
524 799 8532
366 406 7360
524 966 723
240 532 6293
525 957 2947
378 413 2728
151 152 4231
556 833 8866
526 612 571
848 849 4372
644 669 9833
283 990 8396
540 766 9965
175 814 8494
526 900 7945
119 206 2147
528 529 1257
724 983 874
528 626 6812
529 530 7954
529 616 9149
529 668 9335
529 671 9879
79 955 1138
529 786 3105
37 362 3732
61 146 2458
140 697 5357
530 786 2674
258 751 9764
530 995 154
335 336 8502
680 681 749
531 619 7781
712 713 2035
531 741 1911
583 584 4687
480 706 6094
532 675 4206
186 194 8043
300 980 9499
179 746 9079
81 526 4640
235 236 8541
533 569 5643
397 567 2797
708 998 3235
321 1000 3536
90 495 538
799 800 3318
533 857 2409
313 402 5825
492 493 7746
924 946 1281
59 165 1117
161 978 8890
77 599 1522
535 536 3250
587 999 1917
971 972 8745
22 597 1938
161 162 8909
106 588 3045
590 859 7936
361 752 7193
536 812 5921
39 389 7741
619 721 4909
979 980 7071
537 616 4263
449 731 6791
103 695 13
537 981 7103
73 930 7211
538 543 7585
579 950 2413
538 559 3391
833 946 1594
538 624 610
364 707 2417
538 630 8259
72 809 2172
472 779 4034
74 75 8568
539 540 3294
539 644 5973
439 735 9930
539 671 5248
315 825 1659
539 772 3926
539 888 9567
540 541 8726
382 786 1308
564 835 4233
562 735 681
540 889 8209
636 923 5280
62 905 6653
613 614 4809
969 995 2576
194 946 5802
518 519 1086
87 88 4170
584 931 6416
286 429 2192
562 564 2681
785 849 8966
328 587 9010
542 952 561
542 965 1646
214 215 4140
164 445 3693
543 796 6202
132 843 1975
543 924 737
909 910 3392
401 559 4059
544 925 6808
794 795 470
592 705 8267
4 433 309
598 754 7416
664 780 6936
494 568 1678
533 964 5383
45 423 3967
299 392 3789
550 889 1489
319 859 1162
547 679 1408
266 267 2669
281 480 7574
978 979 1705
548 549 2281
481 591 1839
548 645 1724
385 848 1237
548 684 9352
147 694 8775
548 952 6550
255 319 696
549 550 2657
549 963 3980
95 671 2332
302 886 7656
789 790 5517
541 796 1262
277 760 2255
486 1000 655
487 846 4597
551 825 4039
574 575 1602
939 940 7464
552 696 863
552 908 2481
180 799 5960
144 378 2812
42 126 8216
553 774 1945
440 442 5545
818 819 799
175 938 2643
554 555 9379
554 958 2857
555 556 5188
130 241 977
5 624 5839
679 751 8778
678 970 7752
430 431 3185
814 955 1162
367 529 8000
393 954 1389
337 738 666
138 177 9127
39 40 597
557 604 181
31 667 9383
206 525 4047
557 974 799
152 424 8819
56 788 4786
5 6 6951
530 688 6207
558 819 4620
948 949 5204
901 902 1586
418 588 8076
728 747 5667
756 760 7259
854 855 5270
264 636 8207
233 839 5046
959 960 1069
562 563 8227
370 539 9519
562 628 83
562 652 477
715 718 5521
257 829 2176
276 277 6751
622 693 2860
562 992 2745
228 602 8
90 694 3656
563 564 7425
324 794 8055
648 880 4658
63 64 1769
565 566 3948
171 979 4462
711 965 3879
483 502 2174
46 261 2999
566 785 6061
200 728 4169
520 726 4777
567 568 2398
37 38 1025
373 564 2049
283 387 5604
251 313 6017
384 512 1659
19 87 5676
188 607 4568
715 947 1191
569 798 6659
570 571 6178
4 131 9806
66 761 421
428 897 8013
288 851 3192
570 960 6451
571 572 848
571 637 1531
668 793 2902
571 764 2561
133 462 3791
291 294 851
138 528 7978
572 573 220
573 574 7845
573 632 2035
398 823 8334
278 863 9466
238 239 6733
574 696 7074
287 288 7640
950 972 9671
574 778 8198
625 735 8344
134 384 8353
633 790 4935
130 162 6817
575 683 7857
575 734 1449
347 348 8765
291 576 8537
107 306 9053
76 332 2361
81 360 124
503 929 8931
577 908 9292
578 579 7624
99 793 2108
578 680 645
578 751 5225
150 523 4530
792 875 2128
574 659 796
300 301 916
353 863 6853
73 177 6533
283 654 729
579 957 3220
230 625 1918
520 557 6253
592 868 892
580 598 701
490 751 8836
477 556 9773
51 545 1075
530 779 4174
131 847 3907
505 838 5556
73 774 9396
706 707 1150
582 952 4620
89 246 3005
884 885 6890
583 633 9481
583 791 2347
584 585 4694
90 91 7693
266 841 3109
113 618 6874
300 868 9410
19 369 6773
571 988 1226
451 983 9188
163 906 4892
36 700 1343
826 827 3889
585 740 8715
86 391 445
585 907 513
303 480 9707
230 566 4366
586 723 1520
438 439 2251
50 682 3734
587 588 1109
9 311 7060
339 419 1598
320 451 4380
587 875 4847
449 803 7250
557 558 2594
588 589 3836
26 412 2655
490 976 6927
198 199 1058
589 711 3405
298 299 6866
692 693 5060
242 243 4107
590 684 9296
590 687 7940
197 223 3853
210 498 2006
617 877 1094
668 897 2084
590 867 2350
591 592 8513
255 256 9794
231 817 2757
591 892 5964
293 539 1668
291 918 6271
54 136 166
158 506 3835
592 827 3298
49 782 9045
297 674 2340
719 822 9476
593 594 287
169 826 8984
593 762 6525
344 633 9386
536 537 5426
586 842 2594
37 566 313
594 665 3373
782 838 9643
594 831 1523
590 591 325
594 939 9582
196 197 4678
138 508 2694
560 933 656
421 711 6900
291 406 5680
596 650 6085
597 598 5946
239 847 46
597 840 25
598 599 895
513 783 9305
160 579 5834
980 981 6923
599 651 1225
176 582 4717
726 808 9654
54 123 91
150 876 1747
600 644 8775
600 715 2005
600 789 4221
147 148 7709
271 453 742
10 226 9220
887 888 7084
601 614 3577
601 775 5186
3 816 2221
465 724 2266
433 567 3154
343 965 9116
340 553 44
45 333 6085
49 351 9758
444 555 7685
603 833 3216
44 245 2620
314 757 8848
605 606 7182
455 659 9716
641 642 5472
605 784 5537
92 712 1520
77 341 8767
607 667 7262
607 681 3200
488 566 2637
100 232 7784
3 322 4395
729 730 5799
609 610 2263
275 631 62
609 776 4273
610 611 4432
610 616 1280
610 828 1896
349 504 3098
303 304 7320
300 668 6001
764 765 9320
611 819 1274
257 813 2851
737 738 1615
612 723 5045
194 473 2418
612 843 1952
617 618 1755
728 772 7273
153 272 1441
105 943 4494
365 366 1416
393 760 1608
225 749 7390
613 698 8143
613 837 5394
613 954 7746
614 615 7460
614 649 4364
488 927 7758
19 20 4923
614 980 2621
847 848 5705
615 861 1948
419 898 6105
616 664 6802
269 375 9963
187 508 1140
106 759 4909
370 499 7473
628 868 6599
618 619 8784
374 544 9254
618 732 3873
618 758 9324
175 902 2646
619 648 3842
88 667 4098
313 314 4052
349 550 3962
620 621 6743
553 666 1784
396 677 5063
62 386 3489
620 947 7697
632 920 186
259 860 8145
449 450 9752
